# total_ram_gb=23.5
t,ram_gb,vram_gb
0.0,0.95,7.04
1.1,0.95,7.11
2.1,0.95,7.13
3.2,0.96,7.26
4.2,0.96,7.41
5.4,0.96,7.47
6.4,0.96,7.46
7.8,0.96,7.48
8.8,1.05,7.47
10.1,1.32,7.43
11.1,1.4,7.43
12.4,1.46,7.46
13.6,1.59,7.69
14.6,1.65,7.68
15.7,1.68,7.67
16.8,1.71,7.68
17.9,1.75,7.67
19.0,1.82,7.68
20.1,1.85,7.67
21.2,2.03,7.68
22.3,2.0,7.67
23.4,2.12,7.67
24.5,2.13,7.67
25.6,1.97,7.67
26.7,2.04,7.67
27.9,1.78,7.68
28.9,1.82,7.68
30.1,1.88,7.69
31.1,1.99,7.68
32.4,2.01,7.69
33.4,2.04,7.68
34.6,2.11,7.69
35.7,2.15,7.68
36.8,3.05,7.69
37.9,3.61,7.68
39.2,3.7,8.78
40.2,3.74,8.81
41.4,3.93,8.83
42.4,3.93,8.82
43.6,3.93,8.83
44.6,3.93,8.82
45.8,3.93,8.82
46.8,3.93,8.81
48.0,3.93,8.82
49.0,3.93,2.32
50.4,3.93,2.32
51.4,3.93,2.31
52.5,3.93,2.33
53.5,3.93,2.06
54.5,3.93,2.07
55.6,3.93,2.06
56.6,3.99,2.07
57.6,4.24,2.08
58.7,4.09,2.08
59.7,4.09,2.09
60.8,4.09,2.09
61.8,4.09,2.16
